cellid,cycle_number,y100,Cp,x100,Cn,Qcomp,x0,y0,Qfull,pos_excess,neg_excess,RMSE_mV,np_ratio,n_li,LLI,LAM_PE,LAM_NE,C20_loss,Cn_pf,x100_pf
2,162,0.029412608131875,5.5795730285612,0.810298187143739,5.37381124794243,0,-0.00104404257625634,0.810834408273509,4.36,1.07,1.23,8.08046692992991,0.963122307107462,0.168591983274638,0.85612954434326,0.0591029928597624,0.11456642236242,0.856581532416503,5.44158657720834,0.798375833682689
2,184,0.0292562900581048,5.56496510186574,0.809001865425143,5.30516227134364,0,-0.00152942090833574,0.801947568671578,4.3,1.12,1.22,8.35928773606194,0.953314562487553,0.166211401414734,0.844040674971153,0.0615663631638917,0.125877595410096,0.844793713163065,5.13134892545619,0.806895847619058
2,206,0.029045778657662,5.54855724979846,0.808120278840389,5.23825334471176,0,-0.00130983478335489,0.793208390506717,4.24,1.16,1.21,8.64570502791848,0.944074848448583,0.163957955221262,0.832597415182956,0.0643332592730894,0.136902063436627,0.833005893909627,4.97780995747034,0.815003555416916
2,228,0.0289770404377969,5.5391308632649,0.807678668761884,5.19555237917061,0,-0.00262978215052156,0.789024077405348,4.21,1.18,1.2,9.29242108794574,0.9379724919711,0.162560398125952,0.82550045899345,0.0659228538230968,0.143937827616502,0.827111984282908,4.99668189739657,0.807649694383248
2,250,0.0290943397929273,5.54882427824937,0.808403162497957,5.13517170532353,0,-0.00169633148535187,0.778802708880525,4.16,1.24,1.18,9.44000700079833,0.925452212543963,0.160914363186012,0.817141703637875,0.0642882296141896,0.153886646731623,0.817288801571709,5.33967675363044,0.789490287180596
2,273,0.0285443733663833,5.51944485509881,0.806605356446806,5.04315343673083,0,-0.00241226540148254,0.767749149772644,4.08,1.3,1.17,9.33422132578664,0.913706644260068,0.157655399415552,0.800592309570365,0.0692425533899276,0.169048337570551,0.801571709233792,5.32948730754851,0.776795547397456
2,294,0.0284663585667537,5.50634256909281,0.807147096942426,5.01361213909383,0,-0.0026482935589649,0.765797890169754,4.06,1.3,1.16,10.1899497994966,0.910515841719568,0.1568376931007,0.796439902551105,0.0714520238326715,0.173915806048309,0.797642436149313,4.70769167575856,0.821840551960521
3,0,0.032792069789254,5.75525571742728,0.828180298697172,5.97387627679295,0,0.00292048888962027,0.889400401730378,4.93,0.65,1.26,5.19804616990486,1.03798624598099,0.19163832918243,1,0,0,1,5.26262618311529,0.865849758847462
3,5,0.0387001358139294,6.74419994714355,0.809044809601749,6.13218982085575,0,0.0279209142342122,0.748940051228769,4.79,1.71,1.41,86.0628290188069,0.90925385796917,0.194848775248799,1.01675263022833,-0.171833238742405,-0.0265009746984226,0.971602434077079,-4.06127747617944,-0.690951621608383
3,10,0.0435,6.57571323286257,0.8,6.85937841713001,0,0.111891003387029,0.761292858790052,4.72,1.59,1.64,135.314818775645,1.0431383143124,0.215419666617616,1.12409489028965,-0.142557960187746,-0.14822907260015,0.957403651115619,7.83699182230971,0.731350330161383
3,15,0.0435,6.40214026428356,0.8,7,0,0.134285714285714,0.771381584537806,4.66,1.48,1.67,137.517745567934,1.09338435445593,0.219335390634677,1.1445277756825,-0.112398923456602,-0.171768492627356,0.945233265720081,7.93882012657638,0.716251217132418
3,23,0.03879198228348,6.69367568942458,0.808300906110205,5.86846634880394,0,0.0278584995633128,0.723019933039445,4.58,1.87,1.35,88.0915754033121,0.876718057624991,0.186674938254605,0.974100218108767,-0.163054435471165,0.0176451474896636,0.929006085192698,-3.9687891061628,-0.665340002631501
